what,kind,bundleId,bundleVersion,description,time
closed,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258793339864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793344564
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793368613
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793369841
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793370621
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793370980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793400852
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1258793403939
opened,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258793404294
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258793404426
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1258793406443
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258793408673
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258793410998
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793411283
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793438875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258793445774
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793446085
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793453419
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258793454068
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793454378
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793502595
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793503035
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258793516198
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258793516219
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258793516355
