what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258854456318
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854456865
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854463362
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258854464755
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1258854465242
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258854465667
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258854467230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854467988
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854468456
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854469240
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854469657
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854470342
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854470816
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854471575
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854472843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854473099
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854485399
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1258854489970
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854497887
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854498522
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854498774
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854499993
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258854500403
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854501225
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854501997
