what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258848216908
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848217347
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848220687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848223934
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848233146
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848234157
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848235768
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848238035
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848249904
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848251397
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848252995
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848258097
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258848258135
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258848258197
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1258848261084
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258848261479
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258848262244
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848265859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848266182
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848267075
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1258848267654
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848270573
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848270880
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848274297
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258848280283
