what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1258848030581
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258848032530
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848032953
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848046940
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848048657
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848058065
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258848058100
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848058530
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848059015
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258848059504
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1258848060254
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1258848060615
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258848060926
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848061290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848107889
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258848107924
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258848109121
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848111627
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848112259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848112471
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258848182276
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1258848185129
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1258848185346
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1258848185543
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1258848185720
