what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850697425
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850698493
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850699344
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850700412
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850701226
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850701831
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850709641
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850718289
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258850721119
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850724577
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850726009
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850726557
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850744535
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850748704
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1258850749764
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850751673
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258850752244
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258850752415
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850754066
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850754409
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850757624
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258850759483
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850759868
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1258850761983
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850763175
