what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850637404
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850637640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850642922
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258850645018
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258850645697
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1258850646688
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850647495
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850652137
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1258850653790
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850654615
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1258850659695
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258850664451
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258850664590
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1258850669312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850673575
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850673823
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850674917
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1258850688558
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258850688774
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850690534
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850691637
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850692996
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850694030
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850695691
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258850696399
