what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852883045
error,log,,,"null",1258852887462
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852890464
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852896805
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852897424
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852897925
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852904162
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852910826
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852916181
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852925173
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852927365
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852935137
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258852935171
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258852938065
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1258852939083
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852939352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852939836
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258852942300
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258852942335
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258852943776
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258852945305
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258852945884
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258852946736
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1258852948175
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258852948729
