what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258854011465
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258854014214
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854014463
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854245555
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854247260
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854247427
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1258854247533
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854249245
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854249348
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1258854249363
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854250642
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854250642
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258854251408
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1258854251408
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854251529
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854287230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854288275
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854440185
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258854441826
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854444229
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854444632
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854444947
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258854451824
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258854453381
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258854453813
