what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778053730
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778055212
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258778059940
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258778059987
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258778064981
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778065231
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258778068580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778074595
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258778074626
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778079212
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778079805
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778080180
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778080741
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778081365
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778082067
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778082894
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778083830
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1258778085187
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Resume",1258778085296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778085858
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778115192
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778116924
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778118442
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778129799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778130751
