what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258767374176
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1258767376151
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1258767376192
started,bundle,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm",1258767378539
opened,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258767380864
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258767380902
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258767381037
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258767381080
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258767394549
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258767394757
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767396553
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767515804
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767516373
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767537356
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767537644
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767538658
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767539142
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258768794943
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258768801669
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258768803824
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258768805035
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258768805042
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258768806665
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258768808153
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258768812194
