what,kind,bundleId,bundleVersion,description,time
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258777531972
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1258777532802
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1258777532900
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1258777532966
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258777532973
started,bundle,org.eclipse.mylyn.ide.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ui",1258777533797
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.BreakpointView",1258777533835
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1258777539320
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Terminate",1258777539372
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777539915
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777540450
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777540678
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777541623
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777541829
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777650845
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777651207
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777652136
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258777652700
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778029020
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258778030658
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1258778038224
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1258778039722
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258778040112
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778043965
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258778053216
