what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258774908299
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258774909555
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775034905
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258775036273
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258775046812
activated,view,com.google.gwt.eclipse.oophm,1.1.101.v200911161426,"com.google.gwt.eclipse.oophm.WebAppLaunchView",1258775047350
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258775055973
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775057502
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775118182
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775118667
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775119145
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775122052
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775126603
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775132290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775171912
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258775175065
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775175333
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775176056
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775176286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775199114
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775204562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775205389
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258775209245
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775209505
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258775210073
