what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865161503
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1258865161517
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865162385
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865162502
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.uiBinderXmlEditor",1258865162660
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.nextEditor",1258865162661
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258865164572
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1258865164705
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258865166166
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865166946
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865174980
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1258865175836
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865176358
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865194396
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258865196009
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1258865199431
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865201795
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865202352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865204397
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865205834
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865208679
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258865209237
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258865214052
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258865216768
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258865217255
