what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258769461134
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258769462007
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258769464990
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258769467922
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258769470197
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258769479814
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1258769484106
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769488171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769489830
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769495946
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769499255
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769500671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769502748
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769515190
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769540392
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769541252
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769542051
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769542373
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258769584450
activated,editor,com.google.gwt.eclipse.core,1.1.101.v200911161426,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1258769587856
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258769589951
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258769592173
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258769598478
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258769599323
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1258769600308
